genre,count,avg_popularity
Comedy,9678,21.34397602810498
Soundtrack,9611,33.96202268234315
Indie,9543,54.701561353871945
Jazz,9438,40.82528077982624
Pop,9386,66.59066695077776
Electronic,9377,38.05609469979738
Childrenâ€™s Music,9353,54.65903988025232
Folk,9299,49.94020862458329
Hip-Hop,9294,58.42414460942543
Rock,9271,59.61935066335886
Alternative,9263,50.21342977437116
Rap,9232,60.53379549393414
World,9094,35.52188255992962
Classical,9090,29.296809680968096
Soul,9088,47.028169014084504
Blues,9022,34.74318332963866
R&B,8992,52.30871886120996
Anime,8935,24.2599888080582
Reggaeton,8925,37.744313725490194
Ska,8873,28.611067282767948
Reggae,8770,35.58882554161916
Dance,8701,57.27525571773359
Country,8664,46.100415512465375
Movie,7784,12.157502569373072
Opera,7499,13.445526070142686
Children's Music,5403,4.252637423653526
A Capella,119,9.302521008403362
